,SampleID,var1,var2,var3
HB_17_46,HB_17_46,HB,17,46
HB_17_32,HB_17_32,HB,17,32
HB_20_30,HB_20_30,HB,20,30
HB_16_83,HB_16_83,HB,16,83
HB_22_27,HB_22_27,HB,22,27
HB_17_79,HB_17_79,HB,17,79
HB_18_40,HB_18_40,HB,18,40
HB_17_15,HB_17_15,HB,17,15
HB_17_65,HB_17_65,HB,17,65
HB_17_31,HB_17_31,HB,17,31
HB_18_85,HB_18_85,HB,18,85
HB_16_31,HB_16_31,HB,16,31
HB_16_58,HB_16_58,HB,16,58
HB_17_99,HB_17_99,HB,17,99
HB_16_18,HB_16_18,HB,16,18
HB_16_25,HB_16_25,HB,16,25
HB_16_69,HB_16_69,HB,16,69
HB_20_91,HB_20_91,HB,20,91
HB_17_47,HB_17_47,HB,17,47
HB_16_89,HB_16_89,HB,16,89
HB_22_24,HB_22_24,HB,22,24
HB_17_28,HB_17_28,HB,17,28
HB_22_33,HB_22_33,HB,22,33
HB_18_29,HB_18_29,HB,18,29
HB_18_65,HB_18_65,HB,18,65
HB_22_25,HB_22_25,HB,22,25
HB_18_53,HB_18_53,HB,18,53
HB_17_96,HB_17_96,HB,17,96
