"time","altitude","downrange_distance","angle","stage"
"t=219s",110.035,229.315,12.795,"second"
"t=220s",110.64,232.021,12.675,"second"
"t=221s",111.225,234.734,12.552,"second"
"t=222s",111.824,237.455,12.431,"second"
"t=223s",112.439,240.184,12.316,"second"
"t=224s",113.043,242.92,12.204,"second"
"t=225s",113.64,245.664,12.094,"second"
"t=226s",114.233,248.417,11.985,"second"
"t=227s",114.798,251.177,11.87,"second"
"t=228s",115.35,253.946,11.748,"second"
"t=229s",115.93,256.723,11.617,"second"
"t=230s",116.52,259.509,11.477,"second"
"t=231s",117.083,262.303,11.333,"second"
"t=232s",117.627,265.105,11.19,"second"
"t=233s",118.171,267.916,11.055,"second"
"t=234s",118.723,270.735,10.932,"second"
"t=235s",119.281,273.563,10.822,"second"
"t=236s",119.822,276.399,10.723,"second"
"t=237s",120.335,279.243,10.628,"second"
"t=238s",120.825,282.096,10.531,"second"
"t=239s",121.324,284.957,10.43,"second"
"t=240s",121.875,287.827,10.33,"second"
"t=241s",122.445,290.706,10.238,"second"
"t=242s",122.971,293.592,10.158,"second"
"t=243s",123.468,296.488,10.082,"second"
"t=244s",123.972,299.391,9.997,"second"
"t=245s",124.484,302.304,9.895,"second"
"t=246s",124.995,305.225,9.774,"second"
"t=247s",125.501,308.154,9.643,"second"
"t=248s",125.997,311.093,9.511,"second"
"t=249s",126.484,314.04,9.389,"second"
"t=250s",126.966,316.996,9.279,"second"
"t=251s",127.438,319.961,9.176,"second"
"t=252s",127.902,322.935,9.07,"second"
"t=253s",128.362,325.918,8.96,"second"
"t=254s",128.827,328.91,8.851,"second"
"t=255s",129.297,331.91,8.748,"second"
"t=256s",129.766,334.92,8.655,"second"
"t=257s",130.228,337.938,8.57,"second"
"t=258s",130.679,340.965,8.49,"second"
"t=259s",131.121,344.001,8.408,"second"
"t=260s",131.559,347.047,8.322,"second"
"t=261s",132,350.101,8.233,"second"
"t=262s",132.442,353.165,8.143,"second"
"t=263s",132.881,356.237,8.055,"second"
"t=264s",133.315,359.319,7.971,"second"
"t=265s",133.741,362.41,7.89,"second"
"t=266s",134.163,365.51,7.809,"second"
"t=267s",134.585,368.62,7.725,"second"
"t=268s",135.01,371.738,7.638,"second"
"t=269s",135.431,374.866,7.548,"second"
"t=270s",135.842,378.004,7.458,"second"
"t=271s",136.246,381.151,7.37,"second"
"t=272s",136.648,384.307,7.282,"second"
"t=273s",137.051,387.474,7.194,"second"
"t=274s",137.448,390.649,7.106,"second"
"t=275s",137.837,393.835,7.017,"second"
"t=276s",138.22,397.03,6.926,"second"
"t=277s",138.603,400.234,6.835,"second"
"t=278s",138.99,403.449,6.745,"second"
"t=279s",139.374,406.673,6.66,"second"
"t=280s",139.75,409.907,6.578,"second"
"t=281s",140.116,413.151,6.498,"second"
"t=282s",140.476,416.405,6.417,"second"
"t=283s",140.834,419.669,6.334,"second"
"t=284s",141.191,422.943,6.247,"second"
"t=285s",141.548,426.226,6.159,"second"
"t=286s",141.904,429.52,6.073,"second"
"t=287s",142.257,432.823,5.995,"second"
"t=288s",142.603,436.136,5.925,"second"
"t=289s",142.94,439.46,5.86,"second"
"t=290s",143.27,442.794,5.797,"second"
"t=291s",143.599,446.138,5.732,"second"
"t=292s",143.927,449.492,5.663,"second"
"t=293s",144.257,452.857,5.592,"second"
"t=294s",144.589,456.232,5.519,"second"
"t=295s",144.923,459.617,5.449,"second"
"t=296s",145.253,463.013,5.383,"second"
"t=297s",145.574,466.419,5.318,"second"
"t=298s",145.886,469.835,5.253,"second"
"t=299s",146.19,473.263,5.185,"second"
"t=300s",146.49,476.701,5.113,"second"
"t=301s",146.791,480.149,5.038,"second"
"t=302s",147.092,483.608,4.963,"second"
"t=303s",147.391,487.078,4.889,"second"
"t=304s",147.688,490.559,4.818,"second"
"t=305s",147.981,494.05,4.747,"second"
"t=306s",148.271,497.552,4.677,"second"
"t=307s",148.557,501.065,4.605,"second"
"t=308s",148.838,504.589,4.532,"second"
"t=309s",149.114,508.125,4.458,"second"
"t=310s",149.385,511.671,4.385,"second"
"t=311s",149.65,515.229,4.316,"second"
"t=312s",149.911,518.798,4.251,"second"
"t=313s",150.168,522.378,4.19,"second"
"t=314s",150.424,525.969,4.133,"second"
"t=315s",150.679,529.571,4.08,"second"
"t=316s",150.934,533.185,4.03,"second"
"t=317s",151.189,536.81,3.983,"second"
"t=318s",151.442,540.446,3.937,"second"
"t=319s",151.692,544.093,3.89,"second"
"t=320s",151.94,547.752,3.84,"second"
"t=321s",152.186,551.422,3.786,"second"
"t=322s",152.428,555.104,3.727,"second"
"t=323s",152.667,558.797,3.665,"second"
"t=324s",152.903,562.502,3.601,"second"
"t=325s",153.134,566.219,3.538,"second"
"t=326s",153.36,569.947,3.478,"second"
"t=327s",153.58,573.687,3.423,"second"
"t=328s",153.796,577.439,3.373,"second"
"t=329s",154.008,581.203,3.328,"second"
"t=330s",154.218,584.979,3.287,"second"
"t=331s",154.429,588.766,3.248,"second"
"t=332s",154.643,592.565,3.212,"second"
"t=333s",154.859,596.377,3.178,"second"
"t=334s",155.075,600.2,3.145,"second"
"t=335s",155.289,604.036,3.113,"second"
"t=336s",155.5,607.883,3.08,"second"
"t=337s",155.707,611.743,3.046,"second"
"t=338s",155.909,615.614,3.009,"second"
"t=339s",156.108,619.498,2.97,"second"
"t=340s",156.305,623.394,2.927,"second"
"t=341s",156.5,627.302,2.884,"second"
"t=342s",156.695,631.222,2.84,"second"
"t=343s",156.889,635.155,2.798,"second"
"t=344s",157.081,639.101,2.758,"second"
"t=345s",157.27,643.058,2.72,"second"
"t=346s",157.457,647.028,2.685,"second"
"t=347s",157.641,651.011,2.653,"second"
"t=348s",157.821,655.006,2.622,"second"
"t=349s",157.999,659.014,2.594,"second"
"t=350s",158.176,663.034,2.569,"second"
"t=351s",158.353,667.067,2.545,"second"
"t=352s",158.53,671.112,2.523,"second"
"t=353s",158.708,675.17,2.502,"second"
"t=354s",158.887,679.24,2.483,"second"
"t=355s",159.065,683.324,2.464,"second"
"t=356s",159.243,687.419,2.445,"second"
"t=357s",159.419,691.528,2.426,"second"
"t=358s",159.593,695.65,2.406,"second"
"t=359s",159.764,699.785,2.386,"second"
"t=360s",159.935,703.933,2.366,"second"
"t=361s",160.103,708.093,2.346,"second"
"t=362s",160.271,712.268,2.327,"second"
"t=363s",160.439,716.455,2.31,"second"
"t=364s",160.606,720.655,2.295,"second"
"t=365s",160.774,724.869,2.282,"second"
"t=366s",160.942,729.096,2.27,"second"
"t=367s",161.109,733.337,2.261,"second"
"t=368s",161.277,737.591,2.253,"second"
"t=369s",161.444,741.858,2.245,"second"
"t=370s",161.612,746.139,2.239,"second"
"t=371s",161.779,750.433,2.233,"second"
"t=372s",161.946,754.741,2.228,"second"
"t=373s",162.114,759.063,2.223,"second"
"t=374s",162.281,763.398,2.218,"second"
"t=375s",162.45,767.747,2.214,"second"
"t=376s",162.618,772.11,2.209,"second"
"t=377s",162.788,776.487,2.204,"second"
"t=378s",162.957,780.878,2.199,"second"
"t=379s",163.127,785.283,2.193,"second"
"t=380s",163.297,789.702,2.187,"second"
"t=381s",163.466,794.136,2.18,"second"
"t=382s",163.635,798.583,2.173,"second"
"t=383s",163.804,803.045,2.165,"second"
"t=384s",163.973,807.521,2.158,"second"
"t=385s",164.141,812.012,2.151,"second"
"t=386s",164.309,816.517,2.144,"second"
"t=387s",164.478,821.037,2.138,"second"
"t=388s",164.646,825.572,2.132,"second"
"t=389s",164.815,830.121,2.127,"second"
"t=390s",164.984,834.686,2.123,"second"
"t=391s",165.154,839.266,2.119,"second"
"t=392s",165.324,843.861,2.116,"second"
"t=393s",165.495,848.471,2.112,"second"
"t=394s",165.665,853.096,2.108,"second"
"t=395s",165.837,857.737,2.103,"second"
"t=396s",166.008,862.394,2.097,"second"
"t=397s",166.18,867.066,2.09,"second"
"t=398s",166.352,871.754,2.082,"second"
"t=399s",166.523,876.457,2.072,"second"
"t=400s",166.694,881.177,2.062,"second"
"t=401s",166.864,885.913,2.05,"second"
"t=402s",167.034,890.665,2.037,"second"
"t=403s",167.203,895.433,2.024,"second"
"t=404s",167.372,900.217,2.011,"second"
"t=405s",167.539,905.018,1.998,"second"
"t=406s",167.705,909.835,1.987,"second"
"t=407s",167.871,914.669,1.976,"second"
"t=408s",168.037,919.52,1.966,"second"
"t=409s",168.202,924.387,1.958,"second"
"t=410s",168.367,929.271,1.95,"second"
"t=411s",168.533,934.172,1.944,"second"
"t=412s",168.7,939.09,1.939,"second"
"t=413s",168.867,944.026,1.933,"second"
"t=414s",169.035,948.979,1.928,"second"
"t=415s",169.203,953.949,1.923,"second"
"t=416s",169.371,958.937,1.916,"second"
"t=417s",169.539,963.942,1.909,"second"
"t=418s",169.707,968.965,1.9,"second"
"t=419s",169.875,974.006,1.89,"second"
"t=420s",170.042,979.065,1.879,"second"
"t=421s",170.208,984.142,1.867,"second"
"t=422s",170.374,989.238,1.854,"second"
"t=423s",170.538,994.351,1.841,"second"
"t=424s",170.702,999.483,1.827,"second"
"t=425s",170.865,1004.634,1.814,"second"
"t=426s",171.027,1009.804,1.8,"second"
"t=427s",171.189,1014.992,1.787,"second"
"t=428s",171.35,1020.2,1.773,"second"
"t=429s",171.511,1025.426,1.759,"second"
"t=430s",171.672,1030.673,1.745,"second"
"t=431s",171.832,1035.938,1.73,"second"
"t=432s",171.992,1041.224,1.714,"second"
"t=433s",172.151,1046.529,1.699,"second"
"t=434s",172.308,1051.854,1.683,"second"
"t=435s",172.464,1057.199,1.667,"second"
"t=436s",172.618,1062.564,1.651,"second"
"t=437s",172.771,1067.949,1.636,"second"
"t=438s",172.922,1073.355,1.623,"second"
"t=439s",173.073,1078.781,1.61,"second"
"t=440s",173.224,1084.227,1.598,"second"
"t=441s",173.374,1089.694,1.587,"second"
"t=442s",173.525,1095.181,1.577,"second"
"t=443s",173.677,1100.689,1.566,"second"
"t=444s",173.829,1106.219,1.555,"second"
"t=445s",173.981,1111.77,1.542,"second"
"t=446s",174.133,1117.343,1.529,"second"
"t=447s",174.283,1122.937,1.514,"second"
"t=448s",174.431,1128.553,1.497,"second"
"t=449s",174.578,1134.19,1.479,"second"
"t=450s",174.722,1139.85,1.459,"second"
